PUHour,PUZone,month,count,,PUHour,PUZone,month,count,,PUHour,PUZone,month,count,,PUHour,PUZone,month,count
afternoon,Jamaica,1,330,,afternoon,Bedford,2,302,,afternoon,East Williamsburg,3,356,,afternoon,Elmhurst,4,387
afternoon,Gowanus,1,312,,afternoon,Newark Airport,2,298,,afternoon,Bedford,3,354,,afternoon,Gowanus,4,372
afternoon,Bedford,1,311,,afternoon,Crown Heights North,2,292,,afternoon,Newark Airport,3,352,,afternoon,Newark Airport,4,359
afternoon,Washington Heights North,1,310,,afternoon,Gowanus,2,290,,afternoon,Jamaica,3,351,,afternoon,Jamaica,4,357
afternoon,South Jamaica,1,296,,afternoon,Jamaica,2,284,,afternoon,South Jamaica,3,323,,afternoon,Randalls Island,4,330
afternoon,Forest Hills,1,292,,afternoon,South Jamaica,2,275,,afternoon,Crown Heights North,3,319,,afternoon,Prospect Park,4,327
afternoon,Crown Heights North,1,290,,afternoon,Forest Hills,2,259,,afternoon,South Ozone Park,3,286,,afternoon,South Jamaica,4,327
afternoon,Briarwood/Jamaica Hills,1,240,,afternoon,Elmhurst/Maspeth,2,230,,afternoon,Elmhurst/Maspeth,3,267,,afternoon,South Ozone Park,4,313
afternoon,Elmhurst/Maspeth,1,236,,afternoon,Prospect-Lefferts Gardens,2,193,,afternoon,Forest Hills,3,258,,afternoon,Crown Heights North,4,297
afternoon,South Ozone Park,1,228,,afternoon,Briarwood/Jamaica Hills,2,183,,afternoon,Prospect-Lefferts Gardens,3,248,,afternoon,Sunset Park West,4,255
afternoon,Prospect-Lefferts Gardens,1,211,,afternoon,South Ozone Park,2,183,,afternoon,Briarwood/Jamaica Hills,3,234,,afternoon,Prospect-Lefferts Gardens,4,245
afternoon,Springfield Gardens South,1,199,,afternoon,Randalls Island,2,181,,afternoon,Sunset Park West,3,225,,afternoon,Forest Hills,4,238
afternoon,Bushwick South,1,166,,afternoon,Bushwick South,2,170,,afternoon,Springfield Gardens South,3,219,,afternoon,Springfield Gardens South,4,230
afternoon,Randalls Island,1,165,,afternoon,Inwood,2,170,,afternoon,Kew Gardens,3,205,,afternoon,Bushwick South,4,224
afternoon,Rego Park,1,163,,afternoon,Saint Michaels Cemetery/Woodside,2,161,,afternoon,Randalls Island,3,204,,afternoon,Briarwood/Jamaica Hills,4,212
afternoon,Sunset Park West,1,162,,afternoon,Springfield Gardens South,2,158,,afternoon,Melrose South,3,190,,afternoon,Inwood,4,200
afternoon,Inwood,1,146,,afternoon,Kew Gardens,2,155,,afternoon,Bushwick South,3,187,,afternoon,Elmhurst/Maspeth,4,198
afternoon,South Williamsburg,1,146,,afternoon,Flatbush/Ditmas Park,2,133,,afternoon,Rego Park,3,186,,afternoon,Red Hook,4,167
afternoon,Flatbush/Ditmas Park,1,146,,afternoon,Rego Park,2,131,,afternoon,Prospect Park,3,181,,afternoon,Kew Gardens,4,159
afternoon,Corona,1,146,,afternoon,Flushing,2,119,,afternoon,Inwood,3,180,,afternoon,South Williamsburg,4,145
afternoon,Kew Gardens,1,145,,afternoon,Cypress Hills,2,119,,afternoon,Flatbush/Ditmas Park,3,164,,afternoon,Rego Park,4,144
afternoon,Flushing,1,145,,afternoon,Roosevelt Island,2,118,,afternoon,South Williamsburg,3,156,,afternoon,Saint Michaels Cemetery/Woodside,4,138
afternoon,Maspeth,1,127,,afternoon,South Williamsburg,2,112,,afternoon,Flushing,3,154,,afternoon,Maspeth,4,137
afternoon,Stuyvesant Heights,1,126,,afternoon,Sunset Park West,2,109,,afternoon,Saint Michaels Cemetery/Woodside,3,153,,afternoon,Roosevelt Island,4,134
afternoon,Kensington,1,122,,afternoon,Maspeth,2,106,,afternoon,Cypress Hills,3,142,,afternoon,Flatbush/Ditmas Park,4,134
afternoon,Red Hook,1,122,,afternoon,Red Hook,2,105,,afternoon,Red Hook,3,140,,afternoon,Flushing,4,132
afternoon,Roosevelt Island,1,118,,afternoon,Melrose South,2,103,,afternoon,East Concourse/Concourse Village,3,133,,afternoon,Stuyvesant Heights,4,129
afternoon,Prospect Park,1,114,,afternoon,Richmond Hill,2,102,,afternoon,Richmond Hill,3,124,,afternoon,Brooklyn Navy Yard,4,128
afternoon,Richmond Hill,1,112,,afternoon,Corona,2,97,,afternoon,Brooklyn Navy Yard,3,115,,afternoon,Melrose South,4,128
afternoon,East Concourse/Concourse Village,1,111,,afternoon,Kensington,2,95,,afternoon,Maspeth,3,113,,afternoon,Richmond Hill,4,126
afternoon,Ocean Parkway South,1,108,,afternoon,Stuyvesant Heights,2,95,,afternoon,Roosevelt Island,3,108,,afternoon,Columbia Street,4,119
afternoon,Saint Michaels Cemetery/Woodside,1,101,,afternoon,Brooklyn Navy Yard,2,91,,afternoon,Stuyvesant Heights,3,107,,afternoon,Crown Heights South,4,109
afternoon,Cypress Hills,1,100,,afternoon,Prospect Park,2,88,,afternoon,Corona,3,102,,afternoon,Mariners Harbor,4,108
afternoon,Melrose South,1,97,,afternoon,Ocean Parkway South,2,86,,afternoon,Kensington,3,97,,afternoon,East Concourse/Concourse Village,4,99
afternoon,Columbia Street,1,83,,afternoon,Columbia Street,2,78,,afternoon,East New York,3,95,,afternoon,Highbridge,4,93
