src,dst,weight
Lincoln Square West,Mariners Harbor,1
Central Harlem North,Crown Heights North,4
Prospect Park,Clinton West,1
Bushwick South,Ocean Parkway South,1
East Williamsburg,College Point,1
West Village,West Brighton,1
Astoria,Homecrest,1
Chinatown,Madison,1
Central Harlem North,Rego Park,1
East Harlem North,Crown Heights South,1
Forest Park/Highland Park,Dyker Heights,1
NV,Cambria Heights,1
Ridgewood,Brownsville,1
Kips Bay,UN/Turtle Bay South,5076
East Village,Ridgewood,385
Yorkville East,East Harlem South,4725
Brooklyn Heights,Upper East Side South,90
East Chelsea,Inwood,208
Lower East Side,Midtown East,2056
Times Sq/Theatre District,Times Sq/Theatre District,13598
Morrisania/Melrose,Central Harlem North,8
Central Harlem,Upper West Side South,1154
Midtown North,Boerum Hill,178
Times Sq/Theatre District,Queens Village,11
LaGuardia Airport,Flushing,903
Washington Heights South,Lincoln Square East,148
Yorkville West,Richmond Hill,16
Midtown North,Meatpacking/West Village West,1879
LaGuardia Airport,Washington Heights South,1170
Jackson Heights,Upper East Side South,26
Chinatown,Midtown North,194
Fort Greene,DUMBO/Vinegar Hill,241
JFK Airport,Brooklyn Heights,1473
Alphabet City,Chinatown,281
Midtown Center,Williamsburg (South Side),384
Garment District,Astoria,687
Little Italy/NoLiTa,Meatpacking/West Village West,2451
World Trade Center,Lower East Side,1149
Chinatown,UN/Turtle Bay South,279
World Trade Center,DUMBO/Vinegar Hill,175
Chinatown,Cobble Hill,61
Queensbridge/Ravenswood,UN/Turtle Bay South,10
TriBeCa/Civic Center,Fort Greene,634
Midtown East,Bloomingdale,351
Midtown East,DUMBO/Vinegar Hill,360
East Elmhurst,Jamaica,7
Two Bridges/Seward Park,East Elmhurst,3
Central Harlem North,Jamaica,2
East Harlem North,University Heights/Morris Heights,78
Bushwick South,Bay Ridge,9
TriBeCa/Civic Center,Hamilton Heights,166
Park Slope,Kensington,102
Jackson Heights,Sunset Park West,4
East Harlem North,Longwood,50
Columbia Street,East Village,6
Midtown South,Van Cortlandt Village,24
Greenwich Village North,Bloomingdale,149
Midtown Center,Schuylerville/Edgewater Park,31
Middle Village,Elmhurst,16
Lincoln Square East,Madison,6
Sutton Place/Turtle Bay North,Pelham Parkway,31
Ridgewood,Dyker Heights,1
TriBeCa/Civic Center,West Concourse,12
Elmhurst/Maspeth,Ridgewood,7
Longwood,Hunts Point,6
Greenwich Village South,Bloomingdale,146
Stuyvesant Heights,Williamsburg (North Side),17
Midtown North,Erasmus,7
Midtown Center,Bronxdale,9
Gramercy,Canarsie,15
Clinton Hill,East Chelsea,12
Greenpoint,Midtown North,18
Times Sq/Theatre District,Eastchester,21
Kew Gardens Hills,Kew Gardens Hills,33
Chinatown,Ridgewood,15
Jackson Heights,Woodhaven,7
Mott Haven/Port Morris,East Tremont,8
Meatpacking/West Village West,Long Island City/Hunters Point,161
Lower East Side,Richmond Hill,35
Prospect-Lefferts Gardens,East Flatbush/Remsen Village,25
Two Bridges/Seward Park,Belmont,3
Union Sq,Country Club,5
East Chelsea,Columbia Street,45
Van Cortlandt Park,Van Cortlandt Park,7
Woodside,Kew Gardens,9
North Corona,Old Astoria,3
East Village,Kew Gardens Hills,9
Bloomfield/Emerson Hill,Eltingville/Annadale/Prince's Bay,1
Briarwood/Jamaica Hills,Corona,3
Windsor Terrace,Little Italy/NoLiTa,1
Upper East Side South,Bensonhurst East,7
East Elmhurst,Jamaica Estates,1
South Jamaica,Midtown East,27
Upper East Side North,Red Hook,21
East New York,Elmhurst,1
Midtown Center,Kingsbridge Heights,18
Greenwich Village North,Riverdale/North Riverdale/Fieldston,13
Fordham South,East Concourse/Concourse Village,6
Elmhurst,Midtown North,9
Penn Station/Madison Sq West,Belmont,23
Queensbridge/Ravenswood,TriBeCa/Civic Center,14
South Ozone Park,Gramercy,2
Randalls Island,Upper West Side North,27
Randalls Island,Newark Airport,1
Corona,Belmont,1
Battery Park,Gowanus,4
Seaport,East New York,6
Murray Hill,East Flatbush/Farragut,16
Jackson Heights,Rockaway Park,1
Battery Park,Baisley Park,1
Brooklyn Heights,Queensboro Hill,1
East Village,Arrochar/Fort Wadsworth,6
Stuyvesant Heights,East New York/Pennsylvania Avenue,9
Norwood,Inwood,1
Alphabet City,Erasmus,6
Briarwood/Jamaica Hills,Greenwich Village North,6
Steinway,Little Italy/NoLiTa,3
Lower East Side,College Point,7
Lincoln Square East,Erasmus,3
