src,dst,count,month,avg_fare
East Flatbush/Remsen Village,Forest Hills,1,1,27.3
East Harlem South,Lincoln Square West,403,1,15.956451612903216
East Harlem South,South Williamsburg,28,1,34.51571428571429
East Harlem South,University Heights/Morris Heights,60,1,21.642833333333336
East Village,Bellerose,1,1,78.95
East Village,East Flatbush/Farragut,28,1,33.80928571428571
Elmhurst,Bellerose,3,1,38.13333333333333
Elmhurst,Lenox Hill West,9,1,30.022222222222222
Elmhurst/Maspeth,Flushing Meadows-Corona Park,2,1,18.8
Financial District South,Midtown South,515,1,23.365902912621348
Flatiron,Riverdale/North Riverdale/Fieldston,32,1,47.2659375
Forest Hills,East Flushing,1,1,19.3
Greenwich Village North,Midtown South,3726,1,11.174224369296885
Greenwich Village South,Freshkills Park,1,1,79.38
Greenwich Village South,Westerleigh,1,1,67.66
Hamilton Heights,Soundview/Bruckner,4,1,23.3
Hudson Sq,Flatbush/Ditmas Park,69,1,31.175362318840577
Hudson Sq,Midwood,6,1,37.84
Jackson Heights,Union Sq,14,1,28.789285714285718
Jamaica,Rosedale,1,1,27.8
Kensington,Chinatown,1,1,24.95
Kips Bay,Great Kills,1,1,102.71
Kips Bay,Riverdale/North Riverdale/Fieldston,15,1,48.15933333333332
LaGuardia Airport,Hammels/Arverne,18,1,60.07277777777777
Lenox Hill East,Marine Park/Mill Basin,7,1,63.81142857142857
Lincoln Square East,Crown Heights South,20,1,41.03349999999999
Lincoln Square East,Schuylerville/Edgewater Park,7,1,47.84285714285714
Lincoln Square West,Flatbush/Ditmas Park,10,1,45.802
Little Italy/NoLiTa,Little Italy/NoLiTa,2434,1,9.828804437140542
Little Italy/NoLiTa,Queensbridge/Ravenswood,6,1,24.46666666666667
Lower East Side,Midtown South,2199,1,15.581832651205149
Madison,JFK Airport,2,1,54.95
Manhattan Valley,Claremont/Bathgate,14,1,26.904285714285717
Manhattan Valley,East Flatbush/Farragut,1,1,50.8
Manhattan Valley,Greenwich Village South,112,1,29.463750000000005
Manhattanville,Upper East Side South,64,1,21.240156250000005
Maspeth,East Village,3,1,63.35666666666666
Meatpacking/West Village West,Brooklyn Navy Yard,4,1,20.302500000000002
Meatpacking/West Village West,Old Astoria,52,1,31.128653846153853
Melrose South,East Concourse/Concourse Village,27,1,10.281481481481482
Midtown East,Auburndale,4,1,47.4225
Midtown East,Bushwick North,69,1,35.873333333333335
Midtown East,Oakland Gardens,26,1,51.14423076923077
Midtown North,Financial District North,1003,1,26.917816550348977
Midwood,Sunset Park West,5,1,18.04
Morningside Heights,Randalls Island,1,1,23.19
Mott Haven/Port Morris,Financial District North,1,1,39.96
Mott Haven/Port Morris,Lenox Hill West,10,1,15.743
Mott Haven/Port Morris,Marble Hill,1,1,20.3
Norwood,Soundview/Bruckner,2,1,56.269999999999996
Old Astoria,Manhattanville,3,1,35.73
Old Astoria,Washington Heights North,4,1,32.8825
Park Slope,Midwood,15,1,20.088666666666665
Penn Station/Madison Sq West,Stapleton,4,1,65.545
Prospect Park,Maspeth,1,1,30.96
Queens Village,Jamaica,1,1,16.3
Red Hook,World Trade Center,10,1,30.354000000000003
Rego Park,Kew Gardens,7,1,14.729999999999999
Roosevelt Island,Hamilton Heights,1,1,36.75
Roosevelt Island,Yorkville West,1,1,63.36
Seaport,Windsor Terrace,24,1,25.345833333333335
Sheepshead Bay,Coney Island,6,1,13.653333333333334
SoHo,Auburndale,2,1,43.775
SoHo,East Flatbush/Farragut,3,1,39.68333333333333
South Jamaica,Chinatown,1,1,65.3
South Jamaica,Gramercy,8,1,69.72375
South Ozone Park,East Elmhurst,1,1,33.8
