PUHour,PUZone,month,count
afternoon,Windsor Terrace,1,67
evening,Erasmus,1,66
evening,Spuyten Duyvil/Kingsbridge,1,65
midnight,Morrisania/Melrose,1,65
morning,Stapleton,1,65
midnight,Kingsbridge Heights,1,65
midnight,Columbia Street,1,65
midnight,Spuyten Duyvil/Kingsbridge,1,65
evening,Ocean Hill,1,64
midnight,Canarsie,1,64
morning,Kew Gardens Hills,1,63
midnight,Kew Gardens,1,63
afternoon,Brighton Beach,1,62
morning,Bay Ridge,1,62
afternoon,Bay Ridge,1,60
midnight,Sunset Park East,1,60
morning,North Corona,1,59
midnight,Bedford Park,1,59
morning,Crown Heights South,1,59
morning,Borough Park,1,59
afternoon,Kew Gardens Hills,1,58
evening,East New York,1,58
morning,Richmond Hill,1,57
midnight,Middle Village,1,57
morning,Homecrest,1,56
evening,Gravesend,1,56
midnight,Newark Airport,1,56
midnight,Red Hook,1,55
midnight,East Tremont,1,55
morning,Brooklyn Navy Yard,1,55
afternoon,East New York,1,55
afternoon,Ocean Hill,1,55
midnight,Brownsville,1,54
midnight,Longwood,1,54
evening,Brighton Beach,1,54
afternoon,Highbridge,1,54
evening,Mount Hope,1,51
afternoon,Bushwick North,1,51
evening,Canarsie,1,50
evening,Brownsville,1,49
morning,Westchester Village/Unionport,1,49
midnight,Woodhaven,1,49
morning,Woodhaven,1,48
morning,Coney Island,1,47
midnight,Soundview/Castle Hill,1,47
midnight,Fordham South,1,47
evening,Homecrest,1,47
morning,Astoria Park,1,47
afternoon,Middle Village,1,46
midnight,Springfield Gardens South,1,46
midnight,Cypress Hills,1,46
morning,Midwood,1,45
midnight,Borough Park,1,45
midnight,Bensonhurst West,1,45
morning,Spuyten Duyvil/Kingsbridge,1,45
midnight,East New York/Pennsylvania Avenue,1,44
midnight,Claremont/Bathgate,1,44
midnight,East Flatbush/Remsen Village,1,44
afternoon,Homecrest,1,44
afternoon,Ridgewood,1,44
midnight,Flatlands,1,43
midnight,Soundview/Bruckner,1,43
midnight,Van Cortlandt Village,1,43
morning,Soundview/Bruckner,1,43
midnight,South Jamaica,1,43
morning,Mount Hope,1,42
midnight,Ocean Parkway South,1,42
afternoon,Spuyten Duyvil/Kingsbridge,1,42
midnight,Hunts Point,1,41
evening,Highbridge,1,41
evening,East Flatbush/Remsen Village,1,41
evening,Flatlands,1,39
evening,Morrisania/Melrose,1,39
midnight,Kew Gardens Hills,1,39
morning,Claremont/Bathgate,1,39
morning,Sheepshead Bay,1,38
morning,Ocean Hill,1,38
afternoon,Astoria Park,1,38
afternoon,Van Nest/Morris Park,1,38
afternoon,Canarsie,1,38
evening,University Heights/Morris Heights,1,38
midnight,Randalls Island,1,37
morning,Flatlands,1,37
midnight,Midwood,1,37
midnight,Westchester Village/Unionport,1,36
morning,University Heights/Morris Heights,1,36
afternoon,North Corona,1,36
midnight,Saint Michaels Cemetery/Woodside,1,36
afternoon,Morrisania/Melrose,1,36
evening,Kew Gardens Hills,1,35
evening,Middle Village,1,35
midnight,Norwood,1,35
midnight,East Flatbush/Farragut,1,35
morning,Van Nest/Morris Park,1,35
evening,Hunts Point,1,35
morning,Gravesend,1,34
